iter	Logloss
0	0.6885825515
1	0.6834854745
2	0.6792702138
3	0.6758742062
4	0.671923352
5	0.6681818128
6	0.6643847722
7	0.6603604254
8	0.6571731257
9	0.6536184425
10	0.6501079327
11	0.6474601292
12	0.6438625253
13	0.6403957201
14	0.6371077948
15	0.6344354419
16	0.6314033495
17	0.6277841717
18	0.6245783576
19	0.6215686471
20	0.6185603874
21	0.6149628077
22	0.6125094861
23	0.6103246
24	0.6073910607
25	0.6049205059
26	0.6026199805
27	0.5999688854
28	0.5970945471
29	0.594431862
30	0.5918091509
31	0.5890767827
32	0.586478439
33	0.5843309278
34	0.5822762286
35	0.5802040244
36	0.5777546464
37	0.5751105244
38	0.5720917366
39	0.5696404615
40	0.5676458111
41	0.5651452023
42	0.5631162743
43	0.5605148049
44	0.5583875583
45	0.5561337467
46	0.5541468744
47	0.5518812377
48	0.5501920893
49	0.5481920587
50	0.5462021889
51	0.5440502101
52	0.5416008355
53	0.5392915336
54	0.5375624567
55	0.5358091142
56	0.5339072461
57	0.5322439835
58	0.530584723
59	0.5286247731
60	0.5270690304
61	0.5254799849
62	0.523541222
63	0.521681616
64	0.5200752639
65	0.5184684774
66	0.5168264301
67	0.5153387884
68	0.5134174519
69	0.5122192986
70	0.5104715214
71	0.5091568316
72	0.5072152273
73	0.5057554119
74	0.5043683668
75	0.5027916411
76	0.501097503
77	0.4996652401
78	0.4983768187
79	0.4972334075
80	0.4952376774
81	0.4939089903
82	0.4925261903
83	0.491372681
84	0.4898237379
85	0.4885669787
86	0.4869810496
87	0.4858382008
88	0.4843938317
89	0.4830697618
90	0.4815786574
91	0.4805658101
92	0.4793517964
93	0.4779413975
94	0.476814299
95	0.4755596519
96	0.4744432829
97	0.4733600289
98	0.4722919151
99	0.4710765852
100	0.4698620498
101	0.4689088561
102	0.4679213765
103	0.4669382132
104	0.4659980398
105	0.46499551
106	0.4640879405
107	0.4632993226
108	0.4625245427
109	0.4615414653
110	0.4607105203
111	0.4599195237
112	0.4588130006
113	0.4577892942
114	0.4567758907
115	0.4557584697
116	0.4548655515
117	0.4540529267
118	0.4532077443
119	0.4520725404
120	0.4510605457
121	0.4500919371
122	0.4490305982
