iter	Passed	Remaining
0	48	48310
1	49	24472
2	49	16573
3	50	12577
4	51	10171
5	52	8620
6	52	7478
7	53	6618
8	54	5971
9	54	5432
10	55	4991
11	56	4624
12	56	4312
13	57	4043
14	58	3810
15	58	3607
16	59	3428
17	60	3290
18	61	3183
19	62	3051
20	62	2934
21	64	2849
22	65	2761
23	65	2672
24	66	2589
25	67	2514
26	68	2450
27	68	2388
28	69	2327
29	70	2274
30	70	2218
31	71	2165
32	72	2119
33	72	2073
34	73	2029
35	74	1989
36	74	1950
37	75	1912
38	76	1876
39	76	1843
40	77	1817
41	78	1792
42	79	1766
43	80	1738
44	80	1711
45	81	1686
46	81	1661
47	82	1638
48	84	1631
49	84	1610
50	85	1588
51	86	1570
52	86	1550
53	87	1531
54	88	1512
55	88	1494
56	89	1477
57	90	1462
58	90	1446
59	91	1430
60	91	1415
61	92	1400
62	93	1386
63	93	1372
64	94	1359
65	95	1345
66	95	1332
67	96	1320
68	97	1310
69	97	1300
70	99	1298
71	99	1287
72	100	1277
73	101	1267
74	101	1257
75	102	1247
76	103	1237
77	104	1229
78	104	1221
79	105	1213
80	106	1204
81	106	1195
82	107	1187
83	108	1178
84	108	1170
85	109	1162
86	109	1154
87	110	1145
88	111	1138
89	111	1132
90	112	1125
91	113	1119
92	114	1119
93	115	1117
94	116	1110
95	117	1104
96	118	1098
97	118	1092
98	119	1087
99	120	1080
100	120	1074
101	121	1068
102	121	1062
103	122	1056
104	123	1050
105	123	1044
106	124	1038
107	125	1032
108	125	1028
109	126	1025
110	127	1021
111	128	1016
112	129	1012
113	130	1012
114	131	1008
115	132	1006
116	132	1001
117	133	996
118	134	992
119	134	988
120	135	983
121	135	978
122	136	973
123	137	969
124	137	964
125	138	960
126	139	956
127	139	951
128	140	948
129	141	944
130	141	941
131	142	937
132	143	933
133	143	929
134	144	926
135	145	922
136	146	925
137	147	921
138	148	917
139	148	913
140	149	911
141	150	908
142	151	905
143	151	901
144	152	897
145	152	894
146	153	890
147	154	887
148	154	883
149	155	880
150	156	877
151	156	874
152	157	871
153	158	869
154	158	866
155	159	863
156	160	860
157	160	857
158	161	856
159	163	857
160	164	858
161	165	856
162	166	854
163	167	851
164	168	850
165	168	847
166	169	846
167	170	845
168	171	843
169	172	841
170	173	841
171	174	838
172	174	836
173	175	833
174	176	831
175	177	830
176	178	829
177	179	827
178	180	828
179	181	827
180	182	825
181	183	822
182	183	820
183	184	817
184	185	815
185	185	813
186	186	810
187	187	808
188	187	805
189	188	804
190	189	802
191	190	799
192	190	797
193	191	796
194	192	795
195	194	796
196	194	794
197	195	792
198	196	790
199	197	788
200	197	786
201	198	783
202	199	781
203	199	779
204	200	776
205	200	774
206	201	772
207	202	770
208	203	768
209	203	766
210	204	764
211	205	762
212	205	760
213	206	758
214	207	757
215	208	755
216	209	754
217	210	753
218	210	751
219	211	749
220	212	747
221	212	745
222	213	743
223	214	741
224	214	739
225	215	737
226	216	735
227	216	733
228	217	731
229	217	729
230	218	727
231	219	726
232	220	725
233	221	723
234	221	721
235	222	720
236	223	718
237	225	722
238	226	722
239	227	720
240	228	718
241	228	716
242	229	715
243	230	713
244	230	711
245	231	709
246	232	707
247	232	705
248	233	704
249	234	702
250	234	700
251	235	699
252	236	697
253	236	695
254	237	693
255	238	691
256	238	690
257	239	689
258	240	688
259	241	687
260	242	686
261	243	684
262	243	683
263	244	682
264	245	680
265	246	679
266	246	678
267	247	676
268	248	674
269	248	672
270	249	671
271	250	670
272	251	668
